,checkin,checkout,roomname,ratename,StayTotalwTaxes,currency
0,"Sat, Apr 29","Sun, Apr 30","Guest room, 2 Queen(s)",Member Rate Flexible,249,  USD / night  
1,"Sat, Apr 29","Sun, Apr 30","Guest room, 2 Queen(s)",Flexible Rate,262,  USD / night  
2,"Sat, Apr 29","Sun, Apr 30","Guest room, 2 Queen(s)",2K Everyday,272,  USD / night  
3,"Sat, Apr 29","Sun, Apr 30","Larger Guest room, 2 Queen(s)",Member Rate Flexible,USD / night,
4,"Sat, Apr 29","Sun, Apr 30","Larger Guest room, 2 Queen(s)",Flexible Rate,USD / night,
5,"Sat, Apr 29","Sun, Apr 30","Larger Guest room, 2 Queen(s)",2K Everyday,USD / night,
6,"Sat, Apr 29","Sun, Apr 30","Suite, 1 King, Sofa bed",Member Rate Flexible,USD / night,
7,"Sat, Apr 29","Sun, Apr 30","Suite, 1 King, Sofa bed",Flexible Rate,USD / night,
8,"Sat, Apr 29","Sun, Apr 30","Suite, 1 King, Sofa bed",2K Everyday,USD / night,
