,checkin,PerNight,checkout,roomname,ratename,StayTotalwTaxes,currency,availability,cancelpolicy,paymentpolicy
0,"Sun, Apr 30",136.0,"Mon, May 1","1 King Bed, Guest Room",Member Flexible Rate,155.0,USD,NA,Non-refundable if cancelled more than 1 day after booking,Prepay in full
1,"Sun, Apr 30",139.0,"Mon, May 1","1 King Bed, Guest Room",Flexible Rate,159.0,USD,NA,Non-refundable if cancelled more than 1 day after booking,Prepay in full
2,"Sun, Apr 30",139.0,"Mon, May 1","2 Double Beds, Guest Room",Member Flexible Rate,155.0,USD,NA,Non-refundable if cancelled more than 1 day after booking,Prepay in full
3,"Sun, Apr 30",139.0,"Mon, May 1","2 Double Beds, Guest Room",Flexible Rate,159.0,USD,NA,Non-refundable if cancelled more than 1 day after booking,Prepay in full
